"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"1","특정고압가스업","09_28_14_P","4830000","2026483019512200002","2026-02-02","","01","영업/정상","1","사용중","","","","","","","","전라남도 나주시 동강면 곡천리 570-1","전라남도 나주시 동강면 곡천로 192, 외 2필지(곡천리 570-1, 570-2, 623)","58293","유강영어조합법인","2026-02-02 19:38:59","I","2026-02-04 00:20:02","","158354.287309832","158834.857800727","양식용","액화산소","8","2","",
"2","특정고압가스업","09_28_14_P","3500000","2023350016112200001","2023-08-04","","01","영업/정상","1","사용중","","","","","","","","인천광역시 동구 화수동 7-11","인천광역시 동구 인중로 489 (화수동)","22502","에이치디건설기계(주)","2026-02-02 09:25:36","U","2026-02-04 02:40:00","","167026.3164495","442927.500637717","연구, 시험용","연구, 시험용","88","50","",
"3","특정고압가스업","09_28_14_P","3500000","2006350004402700002","2006-10-19","","01","영업/정상","1","사용중","","","","","032 2112507","","","인천광역시 동구 화수동 7-11","인천광역시 동구 인중로 489 (화수동)","22502","에이치디건설기계(주)","2026-02-02 09:21:39","U","2026-02-04 02:40:00","","167026.3164495","442927.500637717","엔진배기가스 분석","실험","0","0","",
"4","특정고압가스업","09_28_14_P","3500000","2012350005112200002","2012-05-21","","01","영업/정상","1","사용중","","","","","","","","인천광역시 동구 화수동 7-11","인천광역시 동구 인중로 489 (화수동)","","에이치디건설기계(주)","2026-02-02 09:21:49","U","2026-02-04 02:40:00","","167026.3164495","442927.500637717","1","산업차량_축조공장","1020","1","",
"5","특정고압가스업","09_28_14_P","3500000","2012350005112200003","2012-06-15","","01","영업/정상","1","사용중","","","","","","","","인천광역시 동구 화수동 7-11","인천광역시 동구 인중로 489 (화수동)","22502","에이치디건설기계(주)","2026-02-02 09:23:57","U","2026-02-04 02:40:00","","167026.3164495","442927.500637717","철판제관 용도","중기제관_건기제관","0","5","",
"6","특정고압가스업","09_28_14_P","3500000","2013350005112200001","2013-07-29","","01","영업/정상","1","사용중","","","","","","","","인천광역시 동구 화수동 7-11","인천광역시 동구 인중로 489 (화수동)","22502","에이치디건설기계(주)","2026-02-02 09:24:34","U","2026-02-04 02:40:00","","167026.3164495","442927.500637717","사용","용기집합","300","5","",
"7","특정고압가스업","09_28_14_P","3500000","1978350000902700001","2005-05-23","","01","영업/정상","1","사용중","","","","","032 7601148","","","인천광역시 동구 화수동 7-11","인천광역시 동구 인중로 489 (화수동)","22502","에이치디건설기계(주)","2026-02-02 09:21:23","U","2026-02-04 02:40:00","","167026.3164495","442927.500637717","산업차량_축조공사","산업차량_축조공사","1020","1","",
"8","특정고압가스업","09_28_14_P","5670000","1990527002202700086","1990-02-12","","01","영업/정상","1","사용중","","","","","05500000000","","","경상남도 창원시 성산구 신촌동 65","경상남도 창원시 성산구 적현로 147 (신촌동)","","(주)세아창원특수강","2026-02-02 14:01:49","U","2026-02-04 02:40:00","","346140.768506965","190698.587267838","공업용","기체산소-배관공급","0","1","",
"9","특정고압가스업","09_28_14_P","3630000","2011363012212200001","2011-01-26","","01","영업/정상","1","사용중","","","","","","","","광주광역시 광산구 월전동 1036","광주광역시 광산구 평동산단로62번길 25 (월전동)","","에이에스티(주)","2026-01-30 17:50:23","U","2026-02-04 11:04:37","","179429.315224719","179624.724600922","열교환기 등 제품 생산 및 용접","저장탱크설치하여 배관이용하여 사용","10000","100","",
"10","특정고압가스업","09_28_14_P","4050000","2026562002712200002","2026-02-04","","01","영업/정상","BBBB","","","","","","","","","경기도 용인시 처인구 이동읍 덕성리 1264-4","경기도 용인시 처인구 이동읍 덕성산단2로 12-1","17130","(주)후성","2026-02-04 15:41:27","I","2026-02-06 00:20:02","","218260.569397082","408086.871780151","반도체시험용","반도체시험용","58.75","8","",
"11","특정고압가스업","09_28_14_P","3300000","2026330011912200001","2026-02-04","","01","영업/정상","BBBB","","","","","","","","","부산광역시 동래구 낙민동 23-3 설봉빌딩","부산광역시 동래구 충렬대로348번길 23, 설봉빌딩 (낙민동)","47889","동래봉생병원(미래관)","2026-02-04 11:36:44","I","2026-02-06 00:20:02","","390805.03821952","190612.851490212","의료용","액체산소를 대기식 기화기를 통해 기화하여 의료용 산소로 사용","5000","100","",
"12","특정고압가스업","09_28_14_P","3290000","2019329012812200001","2019-01-28","","01","영업/정상","1","사용중","","","","","","","","부산광역시 부산진구 양정동 320-3 수 요양병원","부산광역시 부산진구 동평로 401, 수 요양병원 (양정동)","47211","의료법인청원의료재단 수요양병원","2026-02-03 16:31:35","U","2026-02-06 02:40:00","","388418.982637727","188078.306325796","의료용","압축가스","250","520","",
"13","특정고압가스업","09_28_14_P","4211000","1994421009302700030","1994-04-18","","01","영업/정상","1","사용중","","","","","5205040","","","강원특별자치도 동해시 송정동 60","강원특별자치도 동해시 대동로 210 (송정동)","","쌍용씨앤이(주) 북평공장","2026-02-03 13:08:55","U","2026-02-06 02:40:00","","388872.150122467","445348.387176442","산업용","해당없음","600","0","",
"14","특정고압가스업","09_28_14_P","3740000","2025375003212200013","2025-10-30","","01","영업/정상","1","사용중","","","","","","","","경기도 수원시 장안구 천천동 585 성균관 대학교","경기도 수원시 장안구 서부로 2066, 성균관 대학교 N센터 86591호 (천천동)","16419","성균관대학교","2026-02-04 15:34:28","U","2026-02-06 02:40:00","","197655.310801404","421305.50595434","연구용(수소,액화암모니아,메탄)","연구용","22.748","20","",
"15","특정고압가스업","09_28_14_P","3290000","1984329001302700033","1984-12-01","","03","폐업","2","폐지","2001-01-01","","","","051 8114045","","","부산광역시 부산진구 전포동 188-9","부산광역시 부산진구 동성로76번길 4 (전포동)","","대우버스(주)","2026-02-04 11:09:43","U","2026-02-06 02:40:00","","","","작업용","0","0","0","",
"16","특정고압가스업","09_28_14_P","3290000","1990329001302700037","1990-06-09","","01","영업/정상","1","사용중","","","","","051 8508558","","","부산광역시 부산진구 양정동 산 45","부산광역시 부산진구 양정로 62 (양정동, 동의대학교부속 동의의료원)","","학교법인 동의병원","2026-02-03 10:57:27","U","2026-02-06 02:40:00","","","","의료용","0","0","0","",
"17","특정고압가스업","09_28_14_P","3560000","1977356001302700001","1977-12-23","","01","영업/정상","1","사용중","","","","","032 5705413","","","인천광역시 서구 원창동 100","인천광역시 서구 봉수대로 415 (원창동)","","SK인천석유화학(주)","2026-02-05 11:27:40","U","2026-02-07 02:40:00","","169432.293307121","445974.108712164","공업용","-","0","100","",
"18","특정고압가스업","09_28_14_P","3380000","2026338009412200001","2026-02-06","","01","영업/정상","1","사용중","","","","","","","","부산광역시 수영구 망미동 253-1","부산광역시 수영구 수미로41번길 31 (망미동)","48216","토정개발 주식회사","2026-02-06 15:28:42","I","2026-02-08 00:20:01","","392675.399746369","188241.709148298","망미동 253-1번지 공사현장","산소절단작업","600","20","",
"19","특정고압가스업","09_28_14_P","3740000","2026375003212200001","2026-02-06","","01","영업/정상","BBBB","","","","","","","","","경기도 수원시 장안구 천천동 585 성균관대학교 자연과학캠퍼스","경기도 수원시 장안구 서부로 2066, 성균관대학교 자연과학캠퍼스 86591호 (천천동)","16419","성균관대학교","2026-02-06 16:33:39","I","2026-02-08 00:20:01","","197655.310801404","421305.50595434","연구용","연구용","6966","20","",
"20","특정고압가스업","09_28_14_P","4641000","2026466100712200001","2026-02-06","","01","영업/정상","BBBB","","","","","","","","","전북특별자치도 전주시 덕진구 금암동 663 전북대학교","전북특별자치도 전주시 덕진구 백제대로 567, 전북대학교 (금암동)","54896","전북대학교(공과대학4호관)","2026-02-06 09:08:14","I","2026-02-08 00:20:01","","211946.248805144","260605.22207451","연구용","연구용","7","10","",
"21","특정고압가스업","09_28_14_P","4231000","2010423005112200001","2010-03-31","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 속초시 교동 669-1","강원특별자치도 속초시 중앙로 11 (교동)","","의료법인 온새움 의료재단 온재병원","2026-02-06 08:49:51","U","2026-02-08 02:40:00","","338197.766804118","522865.442373193","의료용","의료용 산소공급","320","200","",
"22","특정고압가스업","09_28_14_P","3630000","2026363034512200002","2026-02-09","","01","영업/정상","BBBB","","","","","","","","","광주광역시 광산구 수완동 1152 KS병원","광주광역시 광산구 왕버들로 220, KS병원 (수완동)","62248","KS병원","2026-02-09 16:59:07","I","2026-02-11 00:20:41","","184709.214219568","188787.787099798","의료용","저장탱크","15000","50","",
"23","특정고압가스업","09_28_14_P","3560000","2008356006812200159","2008-12-03","","03","폐업","2","폐지","2008-12-03","","","","","","","인천광역시 서구 당하동 951-11","","","검단탑종합병원","2026-02-09 15:48:30","U","2026-02-11 02:40:00","","","","환자호흡용","각 병실 공급","4977","1000","",
"24","특정고압가스업","09_28_14_P","5710000","2025573002312200003","2025-12-29","","03","폐업","2","폐지","2026-02-10","","","","","","","충청북도 청주시 흥덕구 옥산면 남촌리 1111-5","충청북도 청주시 흥덕구 옥산면 과학산업4로 97","28122","제이에스알마이크로코리아(주)","2026-02-10 16:16:18","U","2026-02-12 02:40:00","","236684.228643235","355658.056219102","생산설비 가동용","생산설비 가동용",".297","31","",
"25","특정고압가스업","09_28_14_P","3230000","2026323031012200002","2026-02-11","","01","영업/정상","BBBB","","","","","","","","","서울특별시 송파구 오금동 126","서울특별시 송파구 마천로 164 (오금동)","05729","시그니처 요양병원","2026-02-11 09:45:01","I","2026-02-13 00:20:38","","212081.527971261","444598.236691622","의료용","환자 치료용(흡입제)","2000","200","",
"26","특정고압가스업","09_28_14_P","3070000","2026307028712200001","2026-02-11","","01","영업/정상","BBBB","","","","","","","","","서울특별시 성북구 하월곡동 39-1","서울특별시 성북구 화랑로14길 5 (하월곡동)","02792","한국과학기술연구원(실험공장연구실 P-1)","2026-02-11 15:41:50","I","2026-02-13 00:20:38","","203934.360214315","455417.925754463","실험공장 연구실 암모니아 사용","감압조정기 및 전열실기화기","1224","10","",
"27","특정고압가스업","09_28_14_P","5670000","2026567057412200002","2026-02-11","","01","영업/정상","BBBB","","","","","","","","","경상남도 창원시 진해구 장천동 782-52","경상남도 창원시 진해구 천자로 268 (장천동)","51627","성문(주)","2026-02-11 20:29:56","I","2026-02-13 00:20:38","","354492.585496421","182705.578307374","실험용 가스","용기","108.602","5","",
"28","특정고압가스업","09_28_14_P","3230000","2026323031012200001","2026-01-12","","03","폐업","2","폐지","2026-02-10","","","","","","","서울특별시 송파구 오금동 126","서울특별시 송파구 마천로 164 (오금동)","05729","시그니처 요양병원","2026-02-11 09:38:40","U","2026-02-13 02:40:00","","212081.527971261","444598.236691622","의료용","환자 치료용(흡입제)","0","155","",
"29","특정고압가스업","09_28_14_P","3610000","2026361026812200001","2026-02-12","","01","영업/정상","BBBB","","","","","","","","","광주광역시 남구 백운동 637-18 동아병원","광주광역시 남구 대남대로 238, 동아병원 (백운동)","61656","동아병원","2026-02-12 10:14:49","I","2026-02-14 00:20:02","","190807.602412339","181764.584339105","의료처치 및 수술","의료처치 및 수술","8300","276","",
"30","특정고압가스업","09_28_14_P","3930000","2013393028812200003","2013-12-03","","03","폐업","2","폐지","2026-02-12","","","","","","","경기도 안산시 단원구 성곡동 765-4 시화공단 5바 905","경기도 안산시 단원구 첨단로 153 (성곡동, 시화공단 5바 905)","","(주)대유철강","2026-02-12 18:56:31","U","2026-02-14 02:40:00","","176769.355479622","422949.499241792","철판절단가공","철판절단
에너지정책과-5008호(2026.2.12.)","10000","9","",
"31","특정고압가스업","09_28_14_P","5530000","2019553037912200007","2019-05-10","","01","영업/정상","1","사용중","","","","","","","","경기도 화성시 만세구 팔탄면 창곡리 3-1","경기도 화성시 만세구 팔탄면 푸른들판로1010번길 78","18525","주식회사 세진코리아","2026-02-12 19:09:33","U","2026-02-14 02:40:00","","190030.415602742","410493.030377656","주형 및 금형제조에 사용","저장탱크 및 기화기, 감압설비를 통한 사용","15000","10","",
"32","특정고압가스업","09_28_14_P","3930000","1985393009202700226","1985-07-30","","03","폐업","2","폐지","2026-02-12","","","","031 4003661","","","경기도 안산시 상록구 일동 95","경기도 안산시 상록구 구룡로 87 (일동)","","근로복지공단 안산병원","2026-02-12 18:55:35","U","2026-02-14 02:40:00","","188790.160811676","423859.289933906",".","에너지정책과-5011호(2026.2.12.).","4900","3","",
"33","특정고압가스업","09_28_14_P","5350000","2026535037412200001","2026-02-13","","01","영업/정상","1","사용중","","","","","","","","경상남도 김해시 진영읍 진영리 783","경상남도 김해시 진영읍 진산대로 235-2","50859","유진산업 주식회사","2026-02-13 15:13:40","I","2026-02-15 00:20:02","","356114.403763343","203930.505804907","절단기 사용","액화산소용기를 저장하여 대기식 기화기를 통해 기화시킨후 감압하여 배관을 통하여 절단기로 공급하기 위한 시설","5000","11","",
"34","특정고압가스업","09_28_14_P","3130000","2020313016112200002","2020-03-27","","03","폐업","2","폐지","2026-02-12","","","","","","","서울특별시 마포구 아현동 662","","","SK건설(주)","2026-02-12 15:26:45","U","2026-02-15 02:40:00","","195554.21266596","450382.73238922","용접 및 용단","용접 및 용단","38","4","",
"35","특정고압가스업","09_28_14_P","3130000","2020313016112200004","2020-04-21","","03","폐업","2","폐지","2026-02-12","","","","","","","서울특별시 마포구 아현동 662","","","SK건설(주)","2026-02-12 15:25:52","U","2026-02-15 02:40:00","","195554.21266596","450382.73238922","용접 및 용단","용접 및 용단","42","2","",
"36","특정고압가스업","09_28_14_P","3130000","2020313016112200005","2020-04-21","","03","폐업","2","폐지","2026-02-12","","","","","","","서울특별시 마포구 공덕동 385-13","","","SK건설(주)","2026-02-12 15:25:31","U","2026-02-15 02:40:00","","","","용접 및 용단","용접 및 용단","35","4","",
"37","특정고압가스업","09_28_14_P","5670000","2011567014512200005","2011-07-29","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 성산구 성주동 44-1","경상남도 창원시 성산구 정동로62번길 51 (성주동)","","에삽씨케이 주식회사","2026-02-13 09:59:57","U","2026-02-15 02:40:00","","353864.51450123","189788.667029848","산업용","열처리 공정용","144","3","",
